@relation smash-bros

@attribute Char						{Mario,Donkey_Kong,Link,SamusDark_Samus,Yoshi,Kirby,Fox,Pikachu,Luigi,Ness,Captain_Falcon,Jigglypuff,PeachDaisy,Bowser,Ice_Climbers,Sheik,Zelda,Dr_Mario,Pichu,Falco,Marth,Young_Link,Ganondorf,Mewtwo,Roy,Mr_Game_And_Watch,Meta_Knight,PitDark_Pit,Zero_Suit_Samus,Wario,Snake,Ike,Squirtle,Ivysaur,Charizard,Diddy_Kong,Lucas,Sonic,King_Dedede,Olimar,Lucario,ROB,Toon_Link,Wolf,Villager,Mega_Man,Wii_Fit_Trainer,Rosalina_&_Luma,Little_Mac,Greninja,Mii_Brawler,Mii_Swordfighter,Mii_Gunner,Palutena,PAC-MAN,Robin,Shulk,Bowser_Jr,Duck_Hunt,Ryu,Cloud,Corrin,Bayonetta,Inkling,Ridley,SimonRichter,King_K_Rool,Isabelle,Incineroar,Piranha_Plant,Joker,Hero,Banjo_&_Kazooie,Terry,Byleth,Lucina,Chrom,Ken}
@attribute Weight   				REAL
@attribute Recovery					{0,1,2,3,4,5}
@attribute F_Tilt_Startup			Continuous
@attribute F_Tilt_Total_Frames		Continuous
@attribute F_Tilt_Shield_Lag		Continuous
@attribute F_Tilt_Shield_Stun		Continuous
@attribute F_Tilt_Base_Damage		Continuous
@attribute U_Tilt_Startup			Continuous
@attribute U_Tilt_Total_Frames		Continuous
@attribute U_Tilt_Shield_Lag		Continuous
@attribute U_Tilt_Shield_Stun		Continuous
@attribute U_Tilt_Base_Damage		Continuous
@attribute D_Tilt_Startup			Continuous
@attribute D_Tilt_Total_Frames		Continuous
@attribute D_Tilt_Shield_Lag		Continuous
@attribute D_Tilt_Shield_Stun		Continuous
@attribute D_Tilt_Base_Damage		Continuous
@attribute F_Smash_Startup			Continuous
@attribute F_Smash_Total_Frames		Continuous
@attribute F_Smash_Shield_Lag		Continuous
@attribute F_Smash_Shield_Stun		Continuous
@attribute F_Smash_Base_Damage		Continuous
@attribute U_Smash_Startup			Continuous
@attribute U_Smash_Total_Frames		Continuous
@attribute U_Smash_Shield_Lag		Continuous
@attribute U_Smash_Shield_Stun		Continuous
@attribute U_Smash_Base_Damage		Continuous
@attribute D_Smash_Startup			Continuous
@attribute D_Smash_Total_Frames		Continuous
@attribute D_Smash_Shield_Lag		Continuous
@attribute D_Smash_Shield_Stun		Continuous
@attribute D_Smash_Base_Damage		Continuous
@attribute N_Air_Startup			Continuous
@attribute N_Air_Total_Frames		Continuous
@attribute N_Air_Landing_Lag		Continuous
@attribute N_Air_Shield_Lag			Continuous
@attribute N_Air_Shield_Stun		Continuous
@attribute N_Air_Base_Damage		Continuous
@attribute F_Air_Startup			Continuous
@attribute F_Air_Total_Frames		Continuous
@attribute F_Air_Landing_Lag		Continuous
@attribute F_Air_Shield_Lag			Continuous
@attribute F_Air_Shield_Stun		Continuous
@attribute F_Air_Base_Damage		Continuous
@attribute B_Air_Startup			Continuous
@attribute B_Air_Total_Frames		Continuous
@attribute B_Air_Landing_Lag		Continuous
@attribute B_Air_Shield_Lag			Continuous
@attribute B_Air_Shield_Stun		Continuous
@attribute B_Air_Base_Damage		Continuous
@attribute U_Air_Startup			Continuous
@attribute U_Air_Total_Frames		Continuous
@attribute U_Air_Landing_Lag		Continuous
@attribute U_Air_Shield_Lag			Continuous
@attribute U_Air_Shield_Stun		Continuous
@attribute U_Air_Base_Damage		Continuous
@attribute D_Air_Startup			Continuous
@attribute D_Air_Total_Frames		Continuous
@attribute D_Air_Landing_Lag		Continuous
@attribute D_Air_Shield_Lag			Continuous
@attribute D_Air_Shield_Stun		Continuous
@attribute D_Air_Base_Damage		Continuous
@attribute class 					{F-Tier,D-Tier,C-Tier,B-Tier,A-Tier,S-Tier}

@data
%
% 78 instances
%
Mario,98,1,5,25,7,7,7,5,29,6,6,5.5,5,27,7,7,7,15,47,11,12,17.7,9,39,10,10,14,14,43,9,8,12,3,45,6,7,4,8,16,59,17,10,5,14,6,33,6,8,4,10.5,4,30,6,7,3,7,23,37,15,6,3,5.5,A-Tier
Donkey_Kong,127,1,7,34,7,9,9,5,38,8,10,10,6,24,6,6,6,22,54,16,14,22,14,49,12,13,19,11,55,11,11,17,10,38,10,9,5,12,18,55,17,15,6,16,7,31,11,9,5,13,6,37,15,9,5,13,14,54,14,10,6,16,F-Tier
Link,104,2,15,39,9,12,13,8,35,8,10,11,10,30,7,9,9,17,50,10,10,14,41,77,8,8,10,24,56,10,11,16,7,38,6,8,4,11,24,51,11,10,4,10,15,30,6,7,3,7,11,59,14,12,5,15,14,79,19,14,6,18,B-Tier
SamusDark_Samus,108,1,8,33,8,10,10,15,39,9,12,13,6,44,9,11,12,10,48,10,10,14,27,56,6,5,6,17,44,9,8,12,14,45,9,8,4,10,30,59,14,12,3,5,9,41,14,11,5,14,16,39,18,10,3,4,17,48,12,10,5,14,B-Tier
Yoshi,104,2,5,29,7,8,8,8,31,7,7,7,8,23,6,6,5,14,52,10,10,15.5,11,46,10,10,14,22,49,9,8,12,3,44,7,8,4,10,16,43,12,10,5,15,18,55,11,9,3,5.5,5,36,8,9,5,12,41,56,17,7,2,2.7,B-Tier
Kirby,79,3,5,23,7,8,8,4,20,6,6,5,4,20,6,6,6,13,47,12,10,15,12,45,10,10,15,10,53,10,10,14,8,52,6,8,4,10,25,47,8,7,3,5,6,40,10,11,5,13,8,35,7,8,4,10,34,54,16,4,3,2,F-Tier
Fox,77,1,6,23,7,7,7,3,27,7,8,8,7,27,7,8,8,13,45,10,10,14,8,55,10,11,16,6,52,10,10,14,4,38,7,7,4,9,25,43,18,12,3,4.8,9,48,9,9,5,13,12,35,13,8,4,10,23,49,17,10,2,3,A-Tier
Pikachu,79,2,6,29,12,10,10,7,26,6,6,5,7,18,6,6,6,15,53,15,12,18,10,44,10,10,14,23,65,7,3,3,21,38,9,8,2,3.5,27,41,12,13,3,4.8,24,43,18,11,5,4,4,26,14,6,3,6,14,47,22,14,5,13,S-Tier
Luigi,97,1,5,32,7,9,9,5,27,6,6,6,5,13,6,6,5,12,41,10,10,15,9,39,10,10,14,14,37,10,10,15,3,45,8,9,5,12,7,23,13,7,4,8,6,44,10,10,5,14,5,26,7,8,4,11,10,28,12,11,4,10,C-Tier
Ness,94,1,7,34,8,10,10,5,28,7,7,7,3,11,5,5,4.5,21,54,15,14,22,10,52,9,9,13,31,45,8,7,10,5,35,8,8,4,11,20,39,12,9,3,5.5,10,35,10,10,5,15,15,33,8,9,3,5,20,54,12,0,0,0,B-Tier
Captain_Falcon,104,1,7,29,7,9,9,14,36,8,10,11,11,34,8,10,10,19,59,12,13,20,28,45,10,10,14,29,48,11,12,18,13,39,7,6,3,6,14,45,18,17,7,22,10,35,10,9,5,13,7,31,10,8,4,10,16,44,12,10,5,14,D-Tier
Jigglypuff,68,3,7,24,8,10,10,9,24,7,9,9,10,30,8,10,10,16,49,10,11,16,16,45,10,10,15,14,48,8,8,11,6,43,9,8,4,11,8,36,9,7,4,9,10,37,11,11,5,13,9,39,9,7,4,9,31,52,12,10,2,2,F-Tier
PeachDaisy,89,2,7,36,7,8,8,9,37,8,10,10,8,23,7,7,7,15,45,11,12,18,14,44,11,11,17,30,54,15,3,3,5,48,7,9,5,13,16,57,13,10,5,15,6,53,11,9,5,12,15,45,7,7,3,6,30,38,8,6,3,5,S-Tier
Bowser,135,1,10,37,9,12,13,11,40,8,10,11,15,45,7,8,8,22,69,14,15,23,37,57,13,14,22,28,71,10,11,16,18,47,15,6,3,6,11,41,14,9,5,13,9,44,24,12,7,19,9,44,17,10,5,15,17,77,34,10,6,16,B-Tier
